Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships,Two-Way Communication
28Q338 - Queens Satellite High School for Opportunity,,,99.0,94.0,66.0,99.0,96.0,,
28Q349 - The Queens School for Leadership and Excellence,82.0,100.0,96.0,95.0,91.0,96.0,95.0,100.0,100.0
28Q350 - Jamaica Gateway to the Sciences,,,95.0,94.0,69.0,97.0,97.0,,
28Q354 - The Jermaine L. Green STEM Institute of Queens,80.0,,95.0,94.0,92.0,95.0,95.0,,
28Q358 - M.S. 358,,,97.0,96.0,83.0,97.0,98.0,,
28Q440 - Forest Hills High School,,,92.0,86.0,68.0,92.0,88.0,,
28Q505 - Hillcrest High School,,,94.0,91.0,66.0,94.0,93.0,,
28Q620 - Thomas A. Edison Career and Technical Education High School,,,95.0,90.0,67.0,96.0,91.0,,
28Q680 - Queens Gateway to Health Sciences Secondary School,,,69.0,76.0,72.0,76.0,85.0,,
28Q686 - Queens Metropolitan High School,,,89.0,92.0,79.0,92.0,92.0,,
28Q687 - Queens High School for the Sciences at York College,,,84.0,86.0,64.0,84.0,94.0,,
28Q690 - High School for Law Enforcement and Public Safety,,,98.0,90.0,66.0,98.0,95.0,,
"28Q896 - Young Women's Leadership School, Queens",,,92.0,90.0,73.0,95.0,91.0,,
29Q015 - P.S. 015 Jackie Robinson,,,98.0,96.0,95.0,96.0,96.0,,
29Q033 - P.S. 033 Edward M. Funk,,,95.0,96.0,90.0,97.0,97.0,,
29Q034 - P.S. 034 John Harvard,,,96.0,97.0,87.0,98.0,98.0,,
29Q035 - P.S. 035 Nathaniel Woodhull,,,89.0,97.0,93.0,89.0,99.0,,
29Q036 - P.S. 036 Saint Albans School,100.0,100.0,99.0,98.0,86.0,98.0,98.0,100.0,100.0
29Q037 - Cynthia Jenkins School,,,95.0,92.0,92.0,97.0,90.0,,
29Q038 - P.S. 038 Rosedale,,,95.0,91.0,98.0,95.0,96.0,,
29Q052 - P.S. 052 Queens,,,99.0,95.0,91.0,98.0,94.0,,
29Q059 - I.S. 059 Springfield Gardens,,,95.0,90.0,84.0,95.0,92.0,,
29Q095 - P.S. 095 Eastwood,,,99.0,99.0,99.0,100.0,99.0,,
29Q109 - Jean Nuzzi Intermediate School,,,77.0,85.0,76.0,87.0,88.0,,
29Q116 - P.S./I.S. 116 William C. Hughley,,,97.0,93.0,92.0,95.0,93.0,,
29Q118 - P.S. 118 Lorraine Hansberry,,,95.0,100.0,91.0,98.0,97.0,,
29Q131 - P.S. 131 Abigail Adams,,,96.0,96.0,88.0,97.0,95.0,,
29Q132 - P.S. 132 Ralph Bunche,,,97.0,96.0,93.0,97.0,97.0,,
29Q134 - P.S. 134 Hollis,,,100.0,100.0,97.0,100.0,100.0,,
29Q135 - The Bellaire School,,,96.0,93.0,92.0,96.0,96.0,,
29Q136 - P.S. 136 Roy Wilkins,,,92.0,92.0,89.0,91.0,96.0,,
29Q138 - P.S./M.S. 138 Sunrise,,,93.0,91.0,84.0,93.0,93.0,,
29Q147 - P.S./M.S. 147 Ronald McNair,,,91.0,87.0,81.0,93.0,90.0,,
29Q156 - P.S. 156 Laurelton,,,100.0,100.0,91.0,100.0,100.0,,
29Q176 - P.S. 176 Cambria Heights,90.0,96.0,87.0,93.0,95.0,89.0,96.0,91.0,100.0
29Q181 - P.S. 181 Brookfield,,,80.0,80.0,91.0,79.0,82.0,,
29Q192 - I.S. 192 The Linden,,,92.0,86.0,71.0,93.0,92.0,,
29Q195 - P.S. 195 William Haberle,,,99.0,98.0,94.0,100.0,98.0,,
29Q208 - P.S./I.S. 208,,,96.0,96.0,90.0,94.0,97.0,,
29Q238 - I.S. 238 - Susan B. Anthony Academy,,,96.0,89.0,74.0,97.0,91.0,,
29Q243 - Institute for Health Professions at Cambria Heights,,,98.0,95.0,85.0,98.0,94.0,,
29Q248 - Queens Preparatory Academy,,,92.0,98.0,81.0,98.0,100.0,,
29Q251 - P.S. 251 Queens,,,92.0,92.0,83.0,92.0,91.0,,
29Q259 - Pathways College Preparatory School: A College Board School,,,92.0,92.0,90.0,94.0,93.0,,
29Q265 - Excelsior Preparatory High School,,,100.0,96.0,80.0,98.0,98.0,,
29Q268 - P.S./I.S. 268,,,92.0,93.0,84.0,93.0,94.0,,
29Q270 - The Gordon Parks School,,,96.0,93.0,93.0,96.0,95.0,,
29Q272 - George Washington Carver High School for the Sciences,,,89.0,88.0,78.0,91.0,87.0,,
29Q283 - Preparatory Academy for Writers: A College Board School,,,97.0,82.0,81.0,94.0,94.0,,
29Q289 - Queens United Middle School,,,98.0,96.0,92.0,95.0,96.0,,
29Q295 - P.S./I.S. 295,89.0,100.0,93.0,89.0,77.0,93.0,95.0,100.0,100.0
29Q313 - Benjamin Franklin High School for Finance & Information Technology,,,98.0,96.0,83.0,97.0,98.0,,
29Q326 - Cambria Heights Academy,,,98.0,97.0,92.0,99.0,96.0,,
29Q327 - Eagle Academy for Young Men III,,,94.0,92.0,78.0,92.0,92.0,,
29Q355 - Collaborative Arts Middle School,,,97.0,93.0,82.0,96.0,93.0,,
29Q356 - Community Voices Middle School,,,97.0,91.0,83.0,94.0,95.0,,
29Q360 - P.S. 360,,,89.0,95.0,95.0,92.0,95.0,,
"29Q492 - Mathematics, Science Research and Technology Magnet High School",,,95.0,92.0,66.0,97.0,96.0,,
"29Q498 - Health, Arts, Robotics, and Technology High School",,,89.0,89.0,77.0,90.0,91.0,,
30Q002 - P.S. 002 Alfred Zimberg,,,96.0,97.0,92.0,97.0,98.0,,
30Q010 - I.S. 010 Horace Greeley,,,98.0,95.0,80.0,98.0,97.0,,
30Q011 - P.S. 011 Kathryn Phelan,,,93.0,94.0,89.0,97.0,96.0,,
30Q017 - P.S. 017 Henry David Thoreau,67.0,100.0,97.0,95.0,90.0,98.0,97.0,100.0,100.0
30Q069 - P.S. 069 Jackson Heights,90.0,97.0,96.0,95.0,92.0,97.0,96.0,100.0,97.0
30Q070 - P.S. 070,73.0,98.0,97.0,96.0,89.0,98.0,97.0,100.0,94.0
30Q076 - P.S. 076 William Hallet,,,91.0,98.0,92.0,96.0,99.0,,
30Q078 - P.S./I.S. 78Q,33.0,92.0,82.0,91.0,88.0,82.0,95.0,100.0,83.0
30Q084 - P.S. 084 Steinway,78.0,100.0,92.0,93.0,88.0,94.0,93.0,100.0,89.0
30Q085 - P.S. 085 Judge Charles Vallone,100.0,100.0,94.0,97.0,97.0,96.0,99.0,100.0,100.0
30Q092 - P.S. 092 Harry T. Stewart Sr.,86.0,86.0,97.0,94.0,91.0,97.0,94.0,100.0,86.0
30Q111 - P.S. 111 Jacob Blackwell,100.0,100.0,84.0,86.0,85.0,81.0,89.0,100.0,100.0
30Q112 - P.S. 112 Dutch Kills,67.0,79.0,94.0,93.0,85.0,98.0,97.0,100.0,82.0
30Q122 - P.S. 122 Mamie Fay,100.0,100.0,92.0,92.0,81.0,94.0,95.0,100.0,100.0
30Q126 - Albert Shanker School for Visual and Performing Arts,,,94.0,91.0,82.0,95.0,94.0,,
30Q127 - P.S. 127 Aerospace Science Magnet School,,,94.0,93.0,90.0,96.0,95.0,,
30Q141 - I.S. 141 The Steinway,,,96.0,93.0,79.0,97.0,94.0,,
30Q145 - I.S. 145 Joseph Pulitzer,,,97.0,96.0,90.0,97.0,97.0,,
30Q148 - P.S. 148 Queens,86.0,100.0,96.0,95.0,87.0,97.0,95.0,100.0,100.0
30Q149 - P.S. 149 Christa McAuliffe,,,97.0,94.0,90.0,96.0,96.0,,
30Q150 - P.S. 150 Queens,83.0,96.0,90.0,93.0,90.0,90.0,95.0,96.0,92.0
30Q151 - P.S. 151 Mary D. Carter,,,96.0,97.0,93.0,98.0,98.0,,
30Q152 - P.S. 152 Gwendoline N. Alleyne School,83.0,92.0,96.0,97.0,89.0,98.0,98.0,97.0,94.0
30Q166 - P.S. 166 Henry Gradstein,,,96.0,93.0,86.0,98.0,95.0,,
30Q171 - P.S. 171 Peter G. Van Alst,75.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
30Q204 - I.S. 204 Oliver W. Holmes,,,88.0,92.0,79.0,90.0,93.0,,
30Q212 - P.S. 212,88.0,98.0,94.0,96.0,92.0,94.0,97.0,96.0,100.0
30Q222 - P.S. Q222 - Fire Fighter Christopher A. Santora School,,,95.0,93.0,92.0,96.0,95.0,,
30Q227 - I.S. 227 Louis Armstrong,,,97.0,90.0,80.0,95.0,93.0,,
30Q228 - The Ivan Lafayette Early Childhood School of the Arts,,,96.0,92.0,99.0,98.0,96.0,,
30Q230 - I.S. 230,,,94.0,90.0,78.0,97.0,94.0,,
30Q234 - P.S. 234,87.0,100.0,96.0,96.0,92.0,97.0,97.0,100.0,100.0
30Q235 - Academy for New Americans,,,98.0,99.0,84.0,99.0,100.0,,
30Q258 - Energy Tech High School,,,97.0,95.0,82.0,99.0,98.0,,
30Q280 - PS280Q: Home of the Lionhearts,,,98.0,96.0,94.0,98.0,97.0,,
"30Q286 - Young Women's Leadership School, Astoria",,,94.0,90.0,80.0,97.0,92.0,,
30Q291 - Hunters Point Community Middle School,,,95.0,94.0,92.0,95.0,93.0,,
30Q300 - The 30th Avenue School (G&T Citywide),,,92.0,97.0,88.0,95.0,98.0,,
30Q301 - Academy for Careers in Television and Film,,,97.0,96.0,90.0,99.0,98.0,,
30Q329 - East Elmhurst Community School,,,98.0,97.0,92.0,98.0,98.0,,
30Q361 - The Woodside Community School,77.0,96.0,98.0,97.0,91.0,99.0,98.0,93.0,96.0
30Q384 - Hunters Point Elementary School,,,94.0,93.0,91.0,95.0,94.0,,
30Q398 - The Hector Figueroa School,77.0,93.0,95.0,96.0,94.0,95.0,96.0,98.0,90.0
30Q445 - William Cullen Bryant High School,,,94.0,93.0,73.0,95.0,94.0,,
30Q450 - Long Island City High School,,,97.0,93.0,71.0,95.0,95.0,,
30Q501 - Frank Sinatra School of the Arts High School,,,98.0,95.0,81.0,98.0,95.0,,
30Q502 - Information Technology High School,,,98.0,91.0,76.0,93.0,91.0,,
30Q555 - Newcomers High School,,,97.0,95.0,80.0,97.0,95.0,,
30Q575 - Academy of American Studies,,,89.0,90.0,72.0,91.0,92.0,,
30Q580 - Baccalaureate School for Global Education,,,88.0,83.0,81.0,89.0,89.0,,
31R001 - P.S. 001 Tottenville,,,88.0,98.0,94.0,92.0,97.0,,
31R002 - I.S. R002 George L. Egbert,,,84.0,89.0,70.0,87.0,89.0,,
31R003 - P.S. 003 The Margaret Gioiosa School,80.0,100.0,97.0,96.0,93.0,98.0,97.0,100.0,100.0
31R004 - P.S. 004 Maurice Wollin,85.0,100.0,91.0,95.0,87.0,91.0,95.0,100.0,100.0
31R005 - P.S. 005 Huguenot,,,96.0,97.0,97.0,95.0,97.0,,
31R006 - P.S. 6 Corporal Allan F. Kivlehan School,100.0,100.0,88.0,95.0,92.0,89.0,96.0,100.0,100.0
31R007 - I.S. 007 Elias Bernstein,,,93.0,94.0,80.0,96.0,96.0,,
31R008 - P.S. 8 Shirlee Solomon,,,62.0,87.0,84.0,68.0,92.0,,
31R009 - Naples Street Elementary School,80.0,96.0,96.0,96.0,95.0,95.0,96.0,93.0,97.0
31R010 - Fort Hill Collaborative Elementary School,,,93.0,94.0,80.0,93.0,93.0,,
31R011 - P.S. 11 Thomas Dongan School,72.0,98.0,87.0,95.0,85.0,91.0,93.0,96.0,96.0
31R013 - P.S. 013 M. L. Lindemeyer,,,98.0,99.0,90.0,99.0,99.0,,
31R016 - P.S. 016 John J. Driscoll,73.0,96.0,98.0,96.0,90.0,95.0,97.0,100.0,92.0
31R018 - P.S. 018 John G. Whittier,79.0,87.0,83.0,82.0,80.0,84.0,84.0,100.0,100.0
31R019 - P.S. 019 The Curtis School,60.0,88.0,97.0,94.0,90.0,98.0,96.0,100.0,85.0
31R020 - P.S. 020 Port Richmond,,,97.0,96.0,85.0,96.0,97.0,,
31R021 - P.S. 21 Margaret Emery-Elm Park,,,99.0,98.0,86.0,99.0,98.0,,
31R022 - P.S. 022 Graniteville,75.0,89.0,94.0,94.0,91.0,96.0,95.0,100.0,89.0
31R023 - P.S. 023 Richmondtown,100.0,100.0,98.0,99.0,91.0,99.0,98.0,100.0,100.0
31R024 - I.S. 024 Myra S. Barnes,,,92.0,90.0,76.0,94.0,92.0,,
31R026 - P.S. 026 The Carteret School,,,90.0,96.0,92.0,93.0,98.0,,
31R027 - I.S. 027 Anning S. Prall,,,90.0,89.0,75.0,94.0,90.0,,
31R028 - The Eagle Academy for Young Men of Staten Island,,,94.0,90.0,82.0,93.0,90.0,,
31R029 - P.S. 029 Bardwell,70.0,100.0,98.0,97.0,84.0,99.0,98.0,90.0,90.0
31R030 - P.S. 030 Westerleigh,,,79.0,94.0,92.0,81.0,95.0,,
31R031 - P.S. 031 William T. Davis,,,94.0,100.0,82.0,98.0,97.0,,
31R032 - P.S. 032 The Gifford School,40.0,100.0,82.0,93.0,81.0,82.0,95.0,100.0,100.0
31R034 - I.S. 034 Tottenville,,,96.0,94.0,78.0,97.0,95.0,,
31R035 - P.S. 35 The Clove Valley School,,,92.0,93.0,96.0,93.0,95.0,,
31R036 - P.S. 036 J. C. Drumgoole,100.0,100.0,79.0,91.0,88.0,83.0,93.0,100.0,100.0
31R038 - P.S. 038 George Cromwell,,,90.0,90.0,89.0,84.0,92.0,,
31R039 - P.S. 39 Francis J. Murphy Jr.,,,95.0,94.0,83.0,93.0,95.0,,
31R041 - The Stephanie A. Vierno School,75.0,100.0,90.0,89.0,83.0,91.0,96.0,100.0,100.0
31R042 - P.S. 042 Eltingville,92.0,100.0,96.0,95.0,85.0,96.0,97.0,100.0,100.0
31R044 - P.S. 044 Thomas C. Brown,,,96.0,95.0,92.0,96.0,95.0,,
31R045 - P.S. 045 John Tyler,83.0,100.0,92.0,94.0,90.0,95.0,97.0,100.0,100.0
31R046 - P.S. 046 Albert V. Maniscalco,71.0,100.0,95.0,98.0,88.0,98.0,97.0,100.0,100.0
31R047 - CSI High School for International Studies,,,97.0,93.0,77.0,98.0,96.0,,
31R048 - P.S. 048 William G. Wilcox,,,94.0,92.0,88.0,95.0,96.0,,
31R049 - I.S. 49 Berta A. Dreyfus,,,90.0,87.0,69.0,93.0,92.0,,
31R050 - P.S. 050 Frank Hankinson,89.0,100.0,92.0,96.0,89.0,95.0,96.0,100.0,100.0
31R051 - I.S. 051 Edwin Markham,,,95.0,93.0,84.0,96.0,94.0,,
31R052 - P.S. 052 John C. Thompson,83.0,95.0,96.0,96.0,91.0,97.0,97.0,98.0,95.0
31R053 - The Barbara Esselborn School,78.0,97.0,95.0,94.0,89.0,96.0,96.0,96.0,93.0
31R054 - P.S. 054 Charles W. Leng,68.0,90.0,96.0,97.0,86.0,97.0,98.0,90.0,89.0
31R055 - P.S. 055 Henry M. Boehm,100.0,100.0,92.0,95.0,92.0,94.0,96.0,100.0,100.0
31R056 - P.S. 56 The Louis Desario School,84.0,100.0,95.0,94.0,86.0,95.0,96.0,100.0,100.0
31R057 - P.S. 057 Hubert H. Humphrey,71.0,86.0,91.0,92.0,84.0,93.0,94.0,100.0,86.0
31R058 - Space Shuttle Columbia School,77.0,90.0,94.0,94.0,86.0,96.0,95.0,100.0,89.0
31R059 - The Harbor View School,93.0,97.0,93.0,93.0,87.0,91.0,95.0,100.0,100.0
31R060 - P.S. 060 Alice Austen,,,79.0,89.0,84.0,83.0,91.0,,
31R061 - I.S. 061 William A Morris,,,88.0,84.0,78.0,85.0,85.0,,
31R062 - The Kathleen Grimm School for Leadership and Sustainability,,80.0,83.0,92.0,94.0,87.0,93.0,80.0,80.0
31R063 - Marsh Avenue School for Expeditionary Learning,,,95.0,95.0,89.0,95.0,93.0,,
31R064 - Gaynor McCown Expeditionary Learning School,,,96.0,92.0,74.0,96.0,95.0,,
31R065 - P.S. 65 The Academy of Innovative Learning,,,96.0,94.0,94.0,93.0,95.0,,
31R068 - Port Richmond School for Visionary Learning,100.0,100.0,100.0,99.0,95.0,99.0,100.0,100.0,100.0
31R069 - P.S. 069 Daniel D. Tompkins,86.0,100.0,92.0,96.0,87.0,93.0,96.0,100.0,100.0
31R072 - I.S. 072 Rocco Laurie,,,96.0,93.0,74.0,97.0,95.0,,
31R074 - P.S. 74 Future Leaders Elementary School,,,98.0,96.0,90.0,96.0,96.0,,
31R075 - I.S. 075 Frank D. Paulo,,,96.0,89.0,77.0,97.0,92.0,,
31R078 - P.S. 78,83.0,100.0,94.0,95.0,87.0,94.0,95.0,100.0,100.0
31R080 - The Michael J. Petrides School,,,94.0,93.0,79.0,96.0,92.0,,
31R440 - New Dorp High School,,,96.0,93.0,70.0,96.0,94.0,,
31R445 - Port Richmond High School,,,98.0,91.0,74.0,97.0,94.0,,
31R450 - Curtis High School,,,94.0,87.0,71.0,94.0,90.0,,
31R455 - Tottenville High School,,,86.0,87.0,63.0,90.0,88.0,,
31R460 - Susan E. Wagner High School,,,91.0,89.0,63.0,91.0,91.0,,
31R470 - Concord High School,,,93.0,93.0,75.0,98.0,93.0,,
31R600 - Ralph R. McKee Career and Technical Education High School,,,94.0,87.0,78.0,93.0,93.0,,
31R605 - Staten Island Technical High School,,,98.0,95.0,61.0,99.0,97.0,,
31R861 - Staten Island School of Civic Leadership,,,92.0,93.0,84.0,93.0,96.0,,
32K045 - P.S./I.S. 045 Horace E. Greene,,,97.0,93.0,77.0,98.0,96.0,,
32K075 - P.S. 075 Mayda Cortiella,,,29.0,63.0,79.0,42.0,74.0,,
32K086 - P.S. 086 The Irvington,,,90.0,95.0,90.0,93.0,95.0,,
32K106 - P.S. 106 Edward Everett Hale,100.0,100.0,95.0,95.0,88.0,97.0,96.0,100.0,100.0
32K116 - P.S. 116 Elizabeth L Farrell,69.0,77.0,92.0,93.0,85.0,91.0,93.0,88.0,81.0
32K123 - P.S. 123 Suydam,80.0,94.0,95.0,94.0,88.0,95.0,95.0,91.0,94.0
32K145 - P.S. 145 Andrew Jackson,91.0,100.0,99.0,96.0,92.0,99.0,97.0,100.0,100.0
32K151 - P.S. 151 Lyndon B. Johnson,60.0,90.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0
32K162 - J.H.S. 162 The Willoughby,,,100.0,100.0,73.0,100.0,99.0,,
32K168 - The Brooklyn School for Math and Research,,,95.0,90.0,66.0,92.0,91.0,,
32K274 - P.S. 274 Kosciusko,,,94.0,96.0,91.0,92.0,98.0,,
32K291 - J.H.S. 291 Roland Hayes,,,97.0,95.0,82.0,99.0,97.0,,
32K299 - P.S. 299 Thomas Warren Field,81.0,96.0,95.0,93.0,88.0,96.0,96.0,100.0,100.0
32K347 - I.S. 347 School of Humanities,,,86.0,83.0,75.0,86.0,83.0,,
"32K349 - I.S. 349 Math, Science & Tech.",,,90.0,92.0,78.0,91.0,88.0,,
32K376 - P.S. 376,,,96.0,92.0,87.0,92.0,95.0,,
32K377 - P.S. 377 Alejandrina B. De Gautier,,,100.0,100.0,98.0,100.0,100.0,,
32K383 - J.H.S. 383 Philippa Schuyler,,,96.0,91.0,83.0,94.0,93.0,,
32K384 - P.S. /I.S. 384 Frances E. Carter,,,94.0,89.0,82.0,100.0,98.0,,
32K403 - Academy for Excellence in Leadership,,,99.0,98.0,84.0,99.0,98.0,,
32K545 - EBC High School for Public Service - Bushwick,,,100.0,100.0,81.0,100.0,100.0,,
32K549 - The Brooklyn School for Social Justice,,,98.0,93.0,87.0,96.0,97.0,,
32K552 - The Academy of Urban Planning and Engineering,,,93.0,92.0,84.0,95.0,96.0,,
32K554 - All City Leadership Secondary School,,,97.0,93.0,88.0,99.0,93.0,,
32K556 - Bushwick Leaders High School for Academic Excellence,,,98.0,98.0,83.0,99.0,99.0,,
32K562 - Evergreen Middle School for Urban Exploration,,,98.0,97.0,82.0,97.0,98.0,,
32K564 - Bushwick Community High School,,,82.0,63.0,53.0,77.0,74.0,,
75K004 - P.S. K004,100.0,100.0,95.0,96.0,93.0,96.0,98.0,100.0,100.0
75K036 - P.S. 36,,,100.0,99.0,89.0,100.0,100.0,,
75K053 - P.S. K053,,,91.0,96.0,87.0,93.0,98.0,,
75K077 - P.S. K077,,,97.0,98.0,93.0,97.0,99.0,,
75K140 - P.S. K140,,,92.0,94.0,94.0,100.0,92.0,,
75K141 - P.S. K141,100.0,100.0,90.0,92.0,88.0,93.0,93.0,100.0,100.0
75K231 - P.S. K231,,,97.0,96.0,90.0,98.0,98.0,,
75K368 - P.S. 368,,,84.0,80.0,77.0,82.0,89.0,,
75K369 - P.S. K369 - Coy L. Cox School,,,91.0,86.0,74.0,85.0,85.0,,
75K370 - P.S. 370,,,97.0,94.0,87.0,96.0,97.0,,
75K371 - P.S. 371 - Lillian L. Rashkis,,,100.0,99.0,88.0,100.0,100.0,,
75K372 - P.S. 372 -The Children's School,,,89.0,92.0,97.0,88.0,93.0,,
75K373 - P.S. 373 - Brooklyn Transition Center,,,95.0,96.0,83.0,95.0,96.0,,
75K396 - Sid Miller Academy,,,93.0,92.0,89.0,91.0,96.0,,
75K721 - P.S. K721 - Brooklyn Occupational Training Center,,,96.0,93.0,88.0,95.0,95.0,,
75K753 - P.S. K753 - School for Career Development,,,98.0,95.0,89.0,94.0,95.0,,
75K771 - P.S. K771,,,95.0,93.0,84.0,94.0,96.0,,
75K811 - P.S. K811 Connie Lekas School,,,78.0,87.0,83.0,84.0,80.0,,
75M035 - P.S. 035,,,91.0,91.0,75.0,92.0,92.0,,
75M079 - P.S. M079 - Horan School,,,100.0,99.0,93.0,100.0,99.0,,
75M094 - P.S. M094,,,98.0,98.0,93.0,100.0,98.0,,
75M138 - P.S. 138,71.0,100.0,98.0,97.0,90.0,97.0,98.0,100.0,100.0
75M169 - P.S. M169 - Robert F. Kennedy,,,91.0,91.0,89.0,93.0,89.0,,
75M226 - P.S. M226,70.0,100.0,93.0,93.0,95.0,90.0,95.0,100.0,100.0
75M721 - P.S. M721 - Manhattan Occupational Training Center,,,99.0,98.0,93.0,99.0,98.0,,
75M751 - Manhattan School for Career Development,,,100.0,96.0,88.0,100.0,100.0,,
75M811 - P.S. M811 - Mickey Mantle School,,,100.0,99.0,84.0,100.0,100.0,,
75Q004 - P.S. Q004,80.0,80.0,96.0,97.0,90.0,97.0,97.0,100.0,80.0
75Q009 - P.S. 009,,,92.0,93.0,89.0,92.0,94.0,,
75Q023 - P.S. Q023 @ Queens Children Center,,,97.0,96.0,90.0,99.0,98.0,,
75Q075 - Robert E. Peary School,,,98.0,96.0,80.0,96.0,97.0,,
75Q177 - P.S. Q177,,,95.0,94.0,87.0,94.0,97.0,,
75Q224 - P.S. Q224,84.0,88.0,95.0,94.0,90.0,95.0,96.0,95.0,95.0
75Q233 - P.S. Q233,,,97.0,97.0,89.0,99.0,98.0,,
75Q255 - P.S. Q255,,,97.0,97.0,94.0,98.0,96.0,,
75Q256 - P.S. Q256,,,99.0,94.0,93.0,98.0,94.0,,
75Q277 - The Riverview School,,,96.0,97.0,89.0,98.0,97.0,,
75Q721 - John F. Kennedy Jr. School,,,96.0,93.0,88.0,95.0,96.0,,
75Q752 - Queens Transition Center,,,65.0,89.0,80.0,73.0,83.0,,
75Q811 - P.S. Q811,,,97.0,97.0,90.0,99.0,99.0,,
75Q993 - P.S. Q993,,,99.0,99.0,96.0,99.0,99.0,,
75R025 - South Richmond High School I.S./P.S. 25,,,89.0,96.0,86.0,94.0,95.0,,
75R037 - The David Marquis School of the Arts,100.0,100.0,95.0,97.0,96.0,96.0,97.0,100.0,100.0
75R373 - P.S. R373,,,92.0,95.0,98.0,95.0,96.0,,
75R721 - The Richard H. Hungerford School,,,84.0,88.0,82.0,88.0,89.0,,
75X010 - P.S. X010,,,95.0,96.0,92.0,95.0,96.0,,
75X012 - P.S. X012 Lewis and Clark School,,,100.0,88.0,80.0,95.0,93.0,,
75X017 - P.S. X017,,,94.0,91.0,95.0,79.0,94.0,,
75X168 - P.S. 168,,,91.0,91.0,94.0,91.0,92.0,,
75X176 - P.S. X176,,,97.0,96.0,93.0,98.0,97.0,,
75X186 - P186X Walter J. Damrosch School,,,92.0,94.0,89.0,93.0,97.0,,
75X188 - P.S. X188,,,96.0,92.0,90.0,96.0,94.0,,
75X352 - The Vida Bogart School for All Children,100.0,100.0,96.0,98.0,89.0,97.0,98.0,100.0,100.0
75X469 - The Bronx School for Continuous Learners,,,97.0,100.0,100.0,100.0,100.0,,
75X596 - P.S. X596,,,96.0,96.0,93.0,97.0,95.0,,
75X721 - P.S. X721 - Stephen McSweeney School,,,88.0,88.0,66.0,89.0,90.0,,
75X723 - P.S. 723,,,91.0,94.0,89.0,93.0,93.0,,
75X754 - J. M. Rapport School Career Development,,,100.0,99.0,93.0,100.0,100.0,,
75X811 - P.S. X811,,,94.0,95.0,90.0,93.0,96.0,,
84K037 - Beginning with Children Charter School II,,,99.0,99.0,97.0,100.0,99.0,,
84K333 - Explore Exceed Charter School,,,96.0,96.0,94.0,96.0,95.0,,
84K355 - Williamsburg Collegiate Charter School,,,99.0,96.0,89.0,98.0,97.0,,
84K356 - Achievement First Crown Heights Charter School,,,94.0,93.0,92.0,94.0,93.0,,
84K358 - Achievement First East New York Charter School,,,100.0,97.0,87.0,99.0,98.0,,
84K360 - Launch Expeditionary Learning Charter School,,,97.0,95.0,86.0,96.0,96.0,,
84K362 - Hellenic Classical Charter School,82.0,91.0,97.0,97.0,95.0,99.0,97.0,91.0,91.0
84K379 - Explore Excel Charter School,,,95.0,94.0,92.0,96.0,95.0,,
"84K406 - EMBER Charter School for Mindful Education, Innovation and Transformation",,,96.0,94.0,91.0,95.0,96.0,,
84K417 - Urban Dove Team Charter School,,,100.0,100.0,91.0,97.0,100.0,,
84K473 - Williamsburg Charter High School,,,95.0,90.0,78.0,94.0,94.0,,
84K486 - New Dawn Charter High School,,,100.0,100.0,80.0,100.0,100.0,,
84K508 - Achievement First Endeavor Charter School,,,97.0,90.0,87.0,97.0,96.0,,
84K517 - Leadership Prep Bedford Stuyvesant Uncommon Prep Charter School,,,90.0,90.0,83.0,92.0,90.0,,
84K536 - Community Roots Charter School,,,96.0,98.0,98.0,97.0,97.0,,
84K538 - Achievement First Bushwick Charter School,,,98.0,98.0,94.0,98.0,97.0,,
84K593 - Excellence Boys Charter School of Bedford Stuyvesa,,,98.0,96.0,94.0,97.0,97.0,,
84K608 - Kings Collegiate Charter School,,,97.0,95.0,91.0,98.0,96.0,,
84K626 - Achievement First Brownsville Charter School,,,93.0,94.0,81.0,94.0,96.0,,
84K648 - Bedford Stuyvesant Collegiate Charter School,,,82.0,83.0,91.0,96.0,90.0,,
84K649 - La Cima Charter School,,,92.0,94.0,87.0,95.0,96.0,,
84K651 - PAVE Academy Charter School,,,99.0,89.0,86.0,99.0,95.0,,
84K680 - Achievement First Aspire Charter School,,,90.0,90.0,90.0,84.0,93.0,,
84K693 - Northside Charter High School,,,87.0,90.0,79.0,89.0,92.0,,
84K701 - Brooklyn Charter School,,,98.0,96.0,92.0,100.0,96.0,,
84K702 - Community Partnership Charter School,75.0,100.0,97.0,96.0,95.0,98.0,97.0,100.0,100.0
84K704 - Explore Charter School,,,94.0,91.0,94.0,93.0,90.0,,
84K707 - Brooklyn Prospect Charter School,,,77.0,89.0,88.0,80.0,85.0,,
84K710 - Brownsville Collegiate Charter School,,,100.0,100.0,93.0,100.0,100.0,,
84K712 - Excellence Girls Charter School,,,94.0,89.0,89.0,93.0,93.0,,
84K724 - Leadership Prep Canarsie Charter School (Leadership Prep CS 4),,,96.0,97.0,94.0,100.0,97.0,,
84K730 - Summit Academy Charter School,,,100.0,97.0,88.0,96.0,100.0,,
"84K733 - Math, Engineering, and Science Academy Charter High School",,,98.0,97.0,92.0,98.0,98.0,,
